Type,Key,Default,Translation,Character Limit
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[2].question.answers[2],Macy's,Macy's,22
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[2].question.answers[3],Nordstrom,Nordstrom,22
quiz,offer:Oiacqv9y51MdTHrbxSpO7:title,Take a quiz,Faça um teste,14
quiz,offer:Oiacqv9y51MdTHrbxSpO7:description,Maple Syrup,Xarope de bordo,18
quiz,offer:Oiacqv9y51MdTHrbxSpO7:orderTitle,Quiz,Teste,8
quiz,offer:Oiacqv9y51MdTHrbxSpO7:orderDescription,Completed,Concluído,24
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[0].description,It takes approximately 40 gallons of sap to make how many galons of maple syrup?,Quantos galões de xarope de bordo se faz com 40 galões de seiva?,66
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[0].question.answers[0],1 gallon,1 galão,22
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[0].question.answers[1],2 gallons,2 galões,22
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[0].question.answers[2],3 gallons,3 galões,22
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[0].question.answers[3],4 gallons,4 galões,22
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[1].description,Maple syrup is also referred to as...,O xarope de bordo também é conhecido como...,66
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[1].question.answers[0],Amber sweetness,Doçura âmbar,22
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[1].question.answers[1],Liquid gold,Ouro líquido,22
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[1].question.answers[2],Canadian currency,Moeda canadense,22
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[1].question.answers[3],Brown sugar,Açúcar mascavo,22
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[2].description,Which tree also produces edible syrup?,Qual árvore também produz xarope comestível?,66
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[2].question.answers[0],Pine,Pinho,22
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[2].question.answers[1],Birch,Bétula,22
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[2].question.answers[2],Black Walnut,Nogueira preta,22
quiz,offer_contents:Oiacqv9y51MdTHrbxSpO7:content:pages[2].question.answers[3],All of the above,Todas as opções acima,22
quiz,offer:OZu4Ru4PUnhEJEhU6AI1R:title,Take a quiz,Faça um teste,14
quiz,offer:OZu4Ru4PUnhEJEhU6AI1R:description,Comic Books,Quadrinhos,18
